Datetime,Run Name,Finished,Table,Platform,Model,Target,Data,Mode,Pretrained Model,Embedding Dimension,Word Dimension,Dropout,BoW Classifier,BoW LR C,BoW RF Estimators,CNN Output Channels,CNN Weight Decay,LSTM Layers,LSTM Hidden Dimension,LSTM Bidirectional,LSTM Wt Dropout,LSTM Embed Dropout,Max Tokens,CUDA Blocking,Epochs,Learning Rate,Patience,Class Imbalance Fix,Accuracy,Balanced Accuracy,AUC,F1,Recall,Precision,Specificity,PPV,NPV,TP,TN,FP,FN,LaTeX String,Table Extra
,LSTM_20221029-2206,20221029-2229,lstm_tuning,SCAR_NLP,LSTM,surv_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,0.2,,,,,0.0,1.0,512.0,True,0.0,0.2,,False,100.0,5e-05,5.0,undersampling,0.7822381854057312,0.7682781219482422,0.8541544675827026,0.8196173310279846,0.8750495910644531,0.7707896828651428,0.661506712436676,0.7707896575821104,0.8027551659361303,2206.0,1282.0,656.0,315.0,LSTM & 0.782 & 0.768 & 0.854 & 0.82 & 0.771 & 0.875 \\,
,LSTM_20221029-2229,20221029-2240,lstm_tuning,SCAR_NLP,LSTM,surv_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,0.2,,,,,0.0,1.0,512.0,True,0.0,0.2,,False,100.0,1e-05,5.0,undersampling,0.565373420715332,0.5,0.6256489753723145,0.7223495841026306,1.0,0.565373420715332,0.0,0.565373402108096,0.0,2521.0,0.0,1938.0,0.0,LSTM & 0.565 & 0.5 & 0.626 & 0.722 & 0.565 & 1.0 \\,
,LSTM_20221029-2240,20221029-2312,lstm_tuning,SCAR_NLP,LSTM,surv_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,0.2,,,,,0.0,1.0,512.0,True,0.01,0.01,,False,100.0,0.0001,5.0,undersampling,0.8004036545753479,0.7859541177749634,0.8751078248023987,0.835489809513092,0.8964696526527405,0.7822775840759277,0.6754385828971863,0.7822776047075113,0.8337579617834395,2260.0,1309.0,629.0,261.0,LSTM & 0.8 & 0.786 & 0.875 & 0.835 & 0.782 & 0.896 \\,
,LSTM_20221029-2312,20221030-0003,lstm_tuning,SCAR_NLP,LSTM,surv_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,0.2,,,,,0.0,1.0,512.0,True,0.01,0.01,,False,100.0,5e-05,5.0,undersampling,0.7986095547676086,0.7875296473503113,0.8794161677360535,0.8304381370544434,0.8722729086875916,0.792432427406311,0.702786386013031,0.7924324324324324,0.8087885985748219,2199.0,1362.0,576.0,322.0,LSTM & 0.799 & 0.788 & 0.879 & 0.83 & 0.792 & 0.872 \\,
,LSTM_20221030-0003,20221030-0013,lstm_tuning,SCAR_NLP,LSTM,surv_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,0.2,,,,,0.0,1.0,512.0,True,0.01,0.01,,False,100.0,1e-05,5.0,undersampling,0.565373420715332,0.5,0.6007229089736938,0.7223495841026306,1.0,0.565373420715332,0.0,0.565373402108096,0.0,2521.0,0.0,1938.0,0.0,LSTM & 0.565 & 0.5 & 0.601 & 0.722 & 0.565 & 1.0 \\,
,LSTM_20221030-0013,20221030-0053,lstm_tuning,SCAR_NLP,LSTM,surv_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,0.2,,,,,0.0,1.0,512.0,True,0.001,0.01,,False,100.0,0.0001,5.0,undersampling,0.7952455878257751,0.7936235666275024,0.8759243488311768,0.8165562152862549,0.8060293793678284,0.8273615837097168,0.7812177538871765,0.8273615635179153,0.7558662006989516,2032.0,1514.0,424.0,489.0,LSTM & 0.795 & 0.794 & 0.876 & 0.817 & 0.827 & 0.806 \\,
,LSTM_20221030-0054,20221030-0116,lstm_tuning,SCAR_NLP,LSTM,surv_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,0.2,,,,,0.0,1.0,512.0,True,0.001,0.01,,False,100.0,5e-05,5.0,undersampling,0.7748374342918396,0.7680574655532837,0.8470767140388489,0.8045932650566101,0.8199127316474915,0.7898356914520264,0.7162022590637207,0.7898356897210547,0.753528773072747,2067.0,1388.0,550.0,454.0,LSTM & 0.775 & 0.768 & 0.847 & 0.805 & 0.79 & 0.82 \\,
,LSTM_20221030-0116,20221030-0127,lstm_tuning,SCAR_NLP,LSTM,surv_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,0.2,,,,,0.0,1.0,512.0,True,0.001,0.01,,False,100.0,1e-05,5.0,undersampling,0.565373420715332,0.5,0.5652908682823181,0.7223495841026306,1.0,0.565373420715332,0.0,0.565373402108096,0.0,2521.0,0.0,1938.0,0.0,LSTM & 0.565 & 0.5 & 0.565 & 0.722 & 0.565 & 1.0 \\,
,LSTM_20221030-0127,20221030-0158,lstm_tuning,SCAR_NLP,LSTM,surv_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,0.2,,,,,0.0,1.0,512.0,True,0.0001,0.01,,False,100.0,0.0001,5.0,undersampling,0.8015249967575073,0.792136549949646,0.8791645765304565,0.8311391472816467,0.8639428615570068,0.8007352948188782,0.7203302383422852,0.8007352941176471,0.8027602070155262,2178.0,1396.0,542.0,343.0,LSTM & 0.802 & 0.792 & 0.879 & 0.831 & 0.801 & 0.864 \\,
,LSTM_20221030-0158,20221030-0254,lstm_tuning,SCAR_NLP,LSTM,surv_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,0.2,,,,,0.0,1.0,512.0,True,0.0001,0.01,,False,100.0,5e-05,5.0,undersampling,0.8008521795272827,0.7924365401268005,0.8803769946098328,0.8294931054115295,0.8568028807640076,0.8038704991340637,0.7280701994895935,0.8038704875325642,0.79627539503386,2160.0,1411.0,527.0,361.0,LSTM & 0.801 & 0.792 & 0.88 & 0.829 & 0.804 & 0.857 \\,
,LSTM_20221030-0254,20221030-0304,lstm_tuning,SCAR_NLP,LSTM,surv_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,0.2,,,,,0.0,1.0,512.0,True,0.0001,0.01,,False,100.0,1e-05,5.0,undersampling,0.565373420715332,0.5,0.6129240989685059,0.7223495841026306,1.0,0.565373420715332,0.0,0.565373402108096,0.0,2521.0,0.0,1938.0,0.0,LSTM & 0.565 & 0.5 & 0.613 & 0.722 & 0.565 & 1.0 \\,
